Topic,Count,Name,Representation,Representative_Docs
-1,3049,-1_se_suficiência_atração_esperança,"['se', 'suficiência', 'atração', 'esperança', 'ressentimento', 'redenção', 'paixão', 'conhecimento', 'do', 'pessimismo']","['8. Beleza e atração', '• Sedução e atração', '• Conhecimento de si mesmo']"
0,4817,0_futebol___,"['futebol', '', '', '', '', '', '', '', '', '']","['', '', '']"
1,3356,1_assuntos_descrevem_abordados_aqui,"['assuntos', 'descrevem', 'abordados', 'aqui', 'tópicos', 'estão', 'que', 'os', 'cinco', 'aquí']","['Aqui estão 5 tópicos que descrevem os assuntos abordados:', 'Aqui estão 5 tópicos que descrevem os assuntos abordados:', 'Aqui estão 5 tópicos que descrevem os assuntos abordados:']"
2,1803,2_por_sofrimento_amor_sofrendo,"['por', 'sofrimento', 'amor', 'sofrendo', 'dolorosas', 'afeto', 'experiências', 'amoroso', 'falta', 'rejeição']","['• Sofrimento por amor', '• Sofrimento por amor', '• Sofrimento por amor']"
3,578,3_os_assuntos_descrevem_abordados,"['os', 'assuntos', 'descrevem', 'abordados', 'tópicos', 'estão', 'aqui', 'que', 'aquí', 'viola']","['Aqui estão os 5 tópicos que descrevem os assuntos abordados:', 'Aqui estão os 5 tópicos que descrevem os assuntos abordados:', 'Aqui estão os 5 tópicos que descrevem os assuntos abordados:']"
4,441,4_por_sofrimento_amor_,"['por', 'sofrimento', 'amor', '', '', '', '', '', '', '']","['Sofrimento por amor', 'Sofrimento por amor', 'Sofrimento por amor']"
5,312,5_nostalgia_saudade_sobração_sentimentalismo,"['nostalgia', 'saudade', 'sobração', 'sentimentalismo', 'luto', 'alegria', 'ausência', 'reflexão', '', '']","['• Saudade e nostalgia', '• Saudade e nostalgia', '• Saudade e nostalgia']"
6,271,6_sugeridos_tópicos_estão_aqui,"['sugeridos', 'tópicos', 'estão', 'aqui', 'os', 'aquí', '', '', '', '']","['Aqui estão os 5 tópicos sugeridos:', 'Aqui estão os 5 tópicos sugeridos:', 'Aqui estão os 5 tópicos sugeridos:']"
7,241,7_bebida_festa_vinho_embriaguez,"['bebida', 'festa', 'vinho', 'embriaguez', 'comida', 'celebração', '', '', '', '']","['• Festa e bebida', '• Festa e bebida', '• Festa e bebida']"
8,201,8_relacionamentos_amor_dramas_seus,"['relacionamentos', 'amor', 'dramas', 'seus', 'amorosa', 'relação', 'sobre', '', '', '']","['• Amor e relacionamentos', '• Amor e relacionamentos', '• Amor e relacionamentos']"
