Topic,Count,Name,Representation,Representative_Docs
-1,2359,-1_divertir_peculiaridades_vergonha_amizades,"['divertir', 'peculiaridades', 'vergonha', 'amizades', 'coragem', 'insatisfação', 'existencial', 'tópicos', 'depressão', 'rivalidade']","['coragem para expressar-se', 'aqui estão os tópicos', 'aqui estão os tópicos']"
0,2677,0_por_sofrimento_amor_sofredor,"['por', 'sofrimento', 'amor', 'sofredor', 'sufriendo', 'sofrendo', 'dolorosas', 'amoroso', 'experiências', 'raiva']","['sofrimento por amor', 'sofrimento por amor', 'sofrimento por amor']"
1,530,1_relacionamentos_amor_relationships_love,"['relacionamentos', 'amor', 'relationships', 'love', 'dependência', 'and', 'confiança', 'sobre', 'relacionamento', '']","['amor e relacionamentos', 'amor e relacionamentos', 'amor e relacionamentos']"
2,529,2_nostalgia_saudade_reminiscência_introspecção,"['nostalgia', 'saudade', 'reminiscência', 'introspecção', 'passado', 'amor', '', '', '', '']","['saudade e nostalgia', 'saudade e nostalgia', 'saudade e nostalgia']"
3,389,3_bebida_festa_embriaguez_drinking,"['bebida', 'festa', 'embriaguez', 'drinking', 'bebedeira', 'party', 'and', '', '', '']","['festa e bebida', 'festa e bebida', 'festa e bebida']"
4,217,4_amorosa_desilusão_desiludido_amoureira,"['amorosa', 'desilusão', 'desiludido', 'amoureira', 'amadora', 'desapontado', 'longe', 'amada', 'amorosas', 'desilusões']","['desilusão amorosa', 'desilusão amorosa', 'desilusão amorosa']"
5,216,5_apego_incondicional_eterno_ternura,"['apego', 'incondicional', 'eterno', 'ternura', 'infiel', 'amoroso', 'doce', 'amada', 'do', 'carícias']","['amor e apego', 'amor e apego', 'amor e apego']"
6,204,6_memória_nostalgia_feliz_sobreposição,"['memória', 'nostalgia', 'feliz', 'sobreposição', 'poder', 'da', 'perda', 'de', '', '']","['memória e nostalgia', 'memória e nostalgia', 'memória e nostalgia']"
7,199,7_conflitos_disputa_conflito_guerra,"['conflitos', 'disputa', 'conflito', 'guerra', 'conflituosa', 'confronto', 'brigas', 'disputas', 'drama', 'discordância']","['dificuldades e conflitos', 'dificuldades e conflitos', 'dificuldades e conflitos']"
8,170,8_emocional_confusão_confundidos_intuição,"['emocional', 'confusão', 'confundidos', 'intuição', 'inconsistência', 'ego', 'caos', 'bagunça', 'indecisão', 'emoções']","['confusão emocional', 'confusão emocional', 'confusão emocional']"
9,145,9_indecisão_confusão_confundimento_perplexidade,"['indecisão', 'confusão', 'confundimento', 'perplexidade', 'palavras', 'ações', 'autoquestionamento', 'desencontro', 'entre', '']","['confusão e indecisão', 'confusão e indecisão', 'confusão e indecisão']"
10,138,10_sofrer_sufrição_sofimento_heartbreak,"['sofrer', 'sufrição', 'sofimento', 'heartbreak', 'sofriência', 'sofrição', 'sofrendo', 'sofrimento', 'amar', 'cores']","['amor e sufrição', 'amar e sofrer', 'amar e sofrer']"
11,138,11_desobediência_libertinagem_proibição_irresponsabilidade,"['desobediência', 'libertinagem', 'proibição', 'irresponsabilidade', 'liberdade', 'confinamento', 'descontrole', 'restrições', 'limitações', 'desligamento']","['proibição e desobediência', 'desobediência e liberdade', 'liberdade e desobediência']"
12,135,12_controle_perder_perda_pérdida,"['controle', 'perder', 'perda', 'pérdida', 'control', 'perderam', 'de', 'controlado', 'autocontrole', 'situação']","['perda de controle', 'perda de controle', 'perda de controle']"
13,127,13_perda_amor_verdadeiro_encontrar,"['perda', 'amor', 'verdadeiro', 'encontrar', 'desencanto', 'vs', 'perdas', 'painel', 'perder', 'romance']","['amor e perda', 'amor e perda', 'amor e perda']"
14,124,14_paz_harmonia_solidariedade_tranquilidade,"['paz', 'harmonia', 'solidariedade', 'tranquilidade', 'desentendimento', 'sossego', 'calma', 'espírito', 'união', 'contentamento']","['paz e amor', 'paz e amor', 'paz e amor']"
15,117,15_independência_independentismo_liberdade_acessos,"['independência', 'independentismo', 'liberdade', 'acessos', 'independence', 'freedom', 'fome', 'busca', 'and', 'desejo']","['liberdade e independência', 'liberdade e independência', 'liberdade e independência']"
16,116,16_frustração_desespero_desesperança_,"['frustração', 'desespero', 'desesperança', '', '', '', '', '', '', '']","['desespero e frustração', 'desespero e frustração', 'desespero e frustração']"
17,109,17_paixão_prioridades_amor_,"['paixão', 'prioridades', 'amor', '', '', '', '', '', '', '']","['o amor e a paixão', 'amor e paixão', 'amor e paixão']"
18,109,18_desespero_despair_desesperança_sofrimento,"['desespero', 'despair', 'desesperança', 'sofrimento', 'suffering', 'and', '', '', '', '']","['sofrimento e desespero', 'sofrimento e desespero', 'sofrimento e desespero']"
19,108,19_dificuldades_em_relacionais_relacionamentos,"['dificuldades', 'em', 'relacionais', 'relacionamentos', 'nas', 'with', 'struggle', 'relationships', 'humanas', 'relações']","['dificuldades em relacionamentos', 'dificuldades em relacionamentos', 'dificuldades em relacionamentos']"
20,108,20_conectar_conexão_proximidade_pertencer,"['conectar', 'conexão', 'proximidade', 'pertencer', 'se', 'estar', 'alguém', 'perto', 'intimidade', 'compartilhar']","['vontade de se conectar com alguém', 'vontade de se conectar com alguém', 'vontade de se conectar com alguém']"
21,108,21_introspecção_reflexão_aprendizado_sombria,"['introspecção', 'reflexão', 'aprendizado', 'sombria', 'sombreamento', 'sincera', 'sossego', 'painel', 'reflexões', 'ou']","['reflexão e introspecção', 'reflexão e introspecção', 'reflexão e introspecção']"
22,104,22_melancolia_saudade_melanchia_sobrevida,"['melancolia', 'saudade', 'melanchia', 'sobrevida', 'sentimental', 'falta', 'tristeza', '', '', '']","['saudade e melancolia', 'saudade e melancolia', 'saudade e melancolia']"
23,103,23_relacionamento_amor_relação_,"['relacionamento', 'amor', 'relação', '', '', '', '', '', '', '']","['amor e relacionamento', 'amor e relacionamento', 'amor e relacionamento']"
24,103,24_rápida_existência_vida_rotineira,"['rápida', 'existência', 'vida', 'rotineira', 'inconformidade', 'da', 'revisão', 'percursos', 'isso', 'painel']","['vida e existência', 'vida e existência', 'existência e vida']"
25,102,25_infidelidade_traição__,"['infidelidade', 'traição', '', '', '', '', '', '', '', '']","['infidelidade e traição', 'infidelidade e traição', 'infidelidade e traição']"
26,100,26_autoaceitação_autoestima_autodestruição_egoísmo,"['autoaceitação', 'autoestima', 'autodestruição', 'egoísmo', 'autocrítica', 'autoafirmação', 'autossuficiência', 'auto', 'danificada', 'estima']","['busca por autoaceitação', 'busca por autoaceitação', 'busca por autoaceitação']"
27,98,27_desesperança_urgência_sufoco_desespero,"['desesperança', 'urgência', 'sufoco', 'desespero', 'sufocação', 'súplica', 'arrebatamento', 'miséria', 'abandono', 'tentativa']","['desesperança e desânimo', 'desesperança e desânimo', 'desespero e desesperança']"
