trecho_id,trecho_texto,topico_id,topico_nome,scores_raw,n_validos,media_score,moda_score,desvio_padrao,classificado_positivo,confianca
0,"É pro meu peito, é pro meu choro...",1,Romance e Relacionamentos,"[4, 4, 4, 4, 4]",5,4.0,4,0.0,1,alta
0,"É pro meu peito, é pro meu choro...",2,Vida no Crime e Violência,"[4, 3, 4, 3, 3]",5,3.4,3,0.49,0,alta
0,"É pro meu peito, é pro meu choro...",3,"Festa, Dança e Diversão","[4, 4, 4, 4, 4]",5,4.0,4,0.0,1,alta
0,"É pro meu peito, é pro meu choro...",4,Ostentação e Luxo,"[3, 3, 3, 2, 4]",5,3.0,3,0.63,0,media
0,"É pro meu peito, é pro meu choro...",5,"Sofrimento, Saudade e Melancolia","[4, 4, 4, 4, 4]",5,4.0,4,0.0,1,alta
0,"É pro meu peito, é pro meu choro...",6,Sexualidade e Sedução,"[4, 4, 4, 5, 4]",5,4.2,4,0.4,1,alta
0,"É pro meu peito, é pro meu choro...",7,Família e Maternidade,"[4, 4, 4, 4, 4]",5,4.0,4,0.0,1,alta
0,"É pro meu peito, é pro meu choro...",8,Superação e Fé,"[4, 4, 4, 4, 4]",5,4.0,4,0.0,1,alta
1,Eu disse pra...,1,Romance e Relacionamentos,"[4, 4, 4, 4, 4]",5,4.0,4,0.0,1,alta
1,Eu disse pra...,2,Vida no Crime e Violência,"[3, 4, 3, 3, 3]",5,3.2,3,0.4,0,alta
1,Eu disse pra...,3,"Festa, Dança e Diversão","[3, 3, 4, 3, 2]",5,3.0,3,0.63,0,media
1,Eu disse pra...,4,Ostentação e Luxo,"[2, 2, 2, 2, 2]",5,2.0,2,0.0,0,alta
1,Eu disse pra...,5,"Sofrimento, Saudade e Melancolia","[3, 3, 3, 3, 3]",5,3.0,3,0.0,0,alta
1,Eu disse pra...,6,Sexualidade e Sedução,"[3, 3, 3, 3, 3]",5,3.0,3,0.0,0,alta
1,Eu disse pra...,7,Família e Maternidade,"[3, 3, 4, 3, 4]",5,3.4,3,0.49,0,alta
1,Eu disse pra...,8,Superação e Fé,"[4, 4, 4, 4, 3]",5,3.8,4,0.4,1,alta
2,Chapelão...,1,Romance e Relacionamentos,"[4, 4, 4, 3, 4]",5,3.8,4,0.4,1,alta
2,Chapelão...,2,Vida no Crime e Violência,"[4, 4, 3, 4, 4]",5,3.8,4,0.4,1,alta
2,Chapelão...,3,"Festa, Dança e Diversão","[4, 4, 4, 3, 4]",5,3.8,4,0.4,1,alta
2,Chapelão...,4,Ostentação e Luxo,"[4, 4, 3, 4, 3]",5,3.6,4,0.49,1,alta
2,Chapelão...,5,"Sofrimento, Saudade e Melancolia","[4, 4, 4, 4, 4]",5,4.0,4,0.0,1,alta
2,Chapelão...,6,Sexualidade e Sedução,"[3, 3, 2, 3, 3]",5,2.8,3,0.4,0,alta
2,Chapelão...,7,Família e Maternidade,"[2, 2, 2, 2, 2]",5,2.0,2,0.0,0,alta
2,Chapelão...,8,Superação e Fé,"[4, 3, 4, 4, 4]",5,3.8,4,0.4,1,alta
3,Será que esse vazio um dia vai me abandonar?...,1,Romance e Relacionamentos,"[4, 4, 4, 4, 4]",5,4.0,4,0.0,1,alta
3,Será que esse vazio um dia vai me abandonar?...,2,Vida no Crime e Violência,"[4, 4, 4, 4, 4]",5,4.0,4,0.0,1,alta
3,Será que esse vazio um dia vai me abandonar?...,3,"Festa, Dança e Diversão","[3, 4, 4, 3, 3]",5,3.4,3,0.49,0,alta
3,Será que esse vazio um dia vai me abandonar?...,4,Ostentação e Luxo,"[3, 4, 3, 3, 4]",5,3.4,3,0.49,0,alta
3,Será que esse vazio um dia vai me abandonar?...,5,"Sofrimento, Saudade e Melancolia","[4, 4, 4, 4, 4]",5,4.0,4,0.0,1,alta
3,Será que esse vazio um dia vai me abandonar?...,6,Sexualidade e Sedução,"[4, 4, 4, 4, 4]",5,4.0,4,0.0,1,alta
3,Será que esse vazio um dia vai me abandonar?...,7,Família e Maternidade,"[4, 4, 4, 4, 4]",5,4.0,4,0.0,1,alta
3,Será que esse vazio um dia vai me abandonar?...,8,Superação e Fé,"[4, 4, 4, 4, 4]",5,4.0,4,0.0,1,alta
4,O erro inesquecível da sua cama...,1,Romance e Relacionamentos,"[4, 4, 4, 4, 4]",5,4.0,4,0.0,1,alta
4,O erro inesquecível da sua cama...,2,Vida no Crime e Violência,"[2, 2, 2, 2, 2]",5,2.0,2,0.0,0,alta
4,O erro inesquecível da sua cama...,3,"Festa, Dança e Diversão","[1, 1, 1, 1, 1]",5,1.0,1,0.0,0,alta
4,O erro inesquecível da sua cama...,4,Ostentação e Luxo,"[4, 3, 3, 4, 4]",5,3.6,4,0.49,1,alta
4,O erro inesquecível da sua cama...,5,"Sofrimento, Saudade e Melancolia","[2, 2, 2, 2, 2]",5,2.0,2,0.0,0,alta
4,O erro inesquecível da sua cama...,6,Sexualidade e Sedução,"[4, 4, 4, 4, 4]",5,4.0,4,0.0,1,alta
