Topic,Count,Name,Representation,Representative_Docs
-1,3068,-1_já_cabeça_aqui_tudo,"['já', 'cabeça', 'aqui', 'tudo', 'mim', 'mais', 'nada', 'mas', 'bem', 'ninguém']","['Você me faz tão bem', 'E tudo o que você está causando em mim', 'Só me deixou o eco e mais nada']"
0,722,0_amor_amo_amar_ama,"['amor', 'amo', 'amar', 'ama', 'amando', 'nosso', 'amores', 'adorar', 'romântico', 'apaixonado']","['Amor', 'Não foi amor', 'Que conheceram o amor']"
1,224,1_aguento_nem_sai_esconder,"['aguento', 'nem', 'sai', 'esconder', 'consigo', 'atender', 'pergunte', 'fingir', 'ligo', 'assim']","['Eu não aguento mais', 'Eu não aguento mais', 'E eu não aguento mais, eu não aguento mais']"
2,214,2_dela_maluca_grau_fazendeiro,"['dela', 'maluca', 'grau', 'fazendeiro', 'culpa', 'mulher', 'levei', 'amarra', 'golpe', 'cowboy']","['Pelo jeito, ela tá querendo quem?(Fazendeiro)Ela se amarra num cowboy porque playboy não tem dinheiro(Fazendeiro)Ela quer minha pegada bruta com aroma de paieiro(Fazendeiro)Ela se amarra num cowboy porque playboy não tem dinheiro(Fazendeiro)Ela quer minha pegada bruta com aroma de paieiro', 'A tara dela era só fazer', 'A culpa é dela']"
3,200,3_beijo_beijar_beija_beijos,"['beijo', 'beijar', 'beija', 'beijos', 'beijando', 'beijou', 'boca', 'beijei', 'gosto', 'dava']","['E um beijo', 'Que administra beijo', 'Todo beijo é normalzin']"
4,180,4_chorar_choro_chorei_chora,"['chorar', 'choro', 'chorei', 'chora', 'lágrimas', 'triste', 'chorou', 'gritando', 'rolou', 'piscina']","['Por me ver chorar', 'Quando for chorar, eu choro com você', 'Se é pra chorar eu choro']"
5,165,5_coração_meu_cuidado_seu,"['coração', 'meu', 'cuidado', 'seu', 'dona', 'mãos', 'entregar', 'gritou', 'dama', 'suas']","['E do coração', 'De coração pra coração', 'Do coração']"
6,148,6_vida_viver_viva_minha,"['vida', 'viver', 'viva', 'minha', 'inteira', 'vivo', 'daria', 'vivendo', 'morro', 'dessa']","['Ô, vida', 'Vida', 'Que preenche a vida']"
7,131,7_saudade_sentir_arrepender_falta,"['saudade', 'sentir', 'arrepender', 'falta', 'louca', 'sinto', 'morrendo', 'saudades', 'bateu', 'negaria']","['Sem saudade de você', 'Ô, saudade', 'S de saudade']"
8,129,8_tempo_hora_minuto_passado,"['tempo', 'hora', 'minuto', 'passado', 'passou', 'relógio', 'idade', 'passar', 'horas', 'tarde']","['É perda de tempo, é perda de tempo', 'O tempo não curou', 'O tempo voa']"
9,120,9_bebida_beber_cerveja_copo,"['bebida', 'beber', 'cerveja', 'copo', 'bebendo', 'vinho', 'bebe', 'bebi', 'açúcar', 'mesa']","['Eu vou bebendo por beber', 'A bebida não volta pro copo', 'Do copo de cerveja, com delicadeza']"
10,109,10_deus_fé_livre_céu,"['deus', 'fé', 'livre', 'céu', 'chamas', 'pastor', 'pintou', 'bateu', 'monte', 'fraca']","['Deus', 'Deus quer?', 'Deus']"
11,102,11_dormir_acordar_sono_madrugada,"['dormir', 'acordar', 'sono', 'madrugada', 'manhã', 'acordei', 'tarde', 'amanhecer', 'esperando', 'dorme']","['E às 9 da manhã, quando você acordar', 'A dormir com os dois travesseiros', 'De acordar de madrugada pra fazer de novo']"
12,93,12_voltar_volta_tamo_volto,"['voltar', 'volta', 'tamo', 'volto', 'traz', 'novo', 'atrás', 'maloqueiro', 'quiser', 'novamente']","['E eu implorei pra voltar', 'Eu implorei pra voltar', 'E eu implorei pra você voltar']"
13,88,13_adianta_boiadeiro_morde_patricinha,"['adianta', 'boiadeiro', 'morde', 'patricinha', 'estragar', 'encarar', 'esconde', 'cão', 'feio', 'usar']","['Que a patricinha não quer o boiadeiro', 'Que a patricinha não quer boiadeiro', 'Nem adianta disfarçar, isso não vai mudar']"
14,77,14_chapelão_brenno_campo_cigano,"['chapelão', 'brenno', 'campo', 'cigano', 'cuiabá', 'carmelita', 'capacitei', 'bruno', 'renovei', 'folgado']","['Chapelão', 'Chapelão)', 'Chapelão(É a']"
15,75,15_sei_conhece_conheço_saber,"['sei', 'conhece', 'conheço', 'saber', 'sabe', 'soube', 'muito', 'bem', 'entende', 'acontecer']","['Eu sei, eu sei', 'Sei que você disse:', 'É, você já sabe, me conhece muito bem']"
16,73,16_esquecer_esqueci_esqueceu_esquece,"['esquecer', 'esqueci', 'esqueceu', 'esquece', 'esqueça', 'capaz', 'esqueço', 'desisti', 'precisando', 'for']","['De me esquecer', 'De me esquecer', 'Pra esquecer']"
17,71,17_sorriso_sorrindo_sorrir_teu,"['sorriso', 'sorrindo', 'sorrir', 'teu', 'sorri', 'orelha', 'esse', 'toa', 'neve', 'sumindo']","['Mas esse sorriso aí eu nunca vi', 'Esse sorriso teu', 'Disparei o meu sorriso que não te atingiu']"
18,70,18_defeitos_errado_erro_erros,"['defeitos', 'errado', 'erro', 'erros', 'errada', 'meus', 'coragem', 'cheio', 'todos', 'acerto']","['Você sabe os meu defeitos', 'Inventando possíveis defeitos', 'Tem os meus defeitos']"
19,69,19_boca_bocas_dose_sua,"['boca', 'bocas', 'dose', 'sua', 'beijinho', 'gosto', 'mel', 'minha', 'cinco', 'errada']","['A sua boca me explorando com movimentos sutis', 'Só boca a boca', 'Minha boca, sua boca, sem sussurrar']"
20,68,20_olhos_olho_olhar_seus,"['olhos', 'olho', 'olhar', 'seus', 'meus', 'cegou', 'olhares', 'dom', 'sobrevivo', 'par']","['Até de olhos fechados', 'Eu fecho os meus olhos', 'Eu fecho os olhos']"
21,68,21_embora_pegou_sido_lentamente,"['embora', 'pegou', 'sido', 'lentamente', 'moral', 'sumiu', 'acontecer', 'teus', 'então', 'beijos']","['Os teus beijos lentamente', 'Os teus beijos lentamente', 'Cê foi embora, então desaparece']"
22,66,22_roupa_vestido_camisa_tirando,"['roupa', 'vestido', 'camisa', 'tirando', 'corpo', 'roupas', 'tirar', 'usando', 'tira', 'pede']","['O que é que tem a gente se beijar sem roupa?', 'Lisa, tira a minha roupa', 'Cê já tá sem roupa por cima de mim']"
